,LSTM_Future_Forecast
2025-09-18,236.1933
2025-09-19,236.84521
2025-09-20,237.03758
2025-09-21,237.038
2025-09-22,236.95406
2025-09-23,236.83012
2025-09-24,236.68608
2025-09-25,236.53157
2025-09-26,236.37187
2025-09-27,236.2102
2025-09-28,236.04878
2025-09-29,235.88863
2025-09-30,235.73064
2025-10-01,235.57503
2025-10-02,235.42203
2025-10-03,235.27144
2025-10-04,235.12312
2025-10-05,234.97691
2025-10-06,234.8325
2025-10-07,234.68965
2025-10-08,234.54813
2025-10-09,234.40779
2025-10-10,234.26852
2025-10-11,234.13008
2025-10-12,233.99245
2025-10-13,233.85556
2025-10-14,233.71928
2025-10-15,233.58366
2025-10-16,233.44864
2025-10-17,233.31413
2025-10-18,233.1803
2025-10-19,233.04695
2025-10-20,232.91422
2025-10-21,232.782
2025-10-22,232.65038
2025-10-23,232.51932
2025-10-24,232.3888
2025-10-25,232.25888
2025-10-26,232.12952
2025-10-27,232.00072
2025-10-28,231.87248
2025-10-29,231.7448
2025-10-30,231.61772
2025-10-31,231.49117
2025-11-01,231.36516
2025-11-02,231.23975
2025-11-03,231.1148
2025-11-04,230.99048
2025-11-05,230.8667
2025-11-06,230.74347
2025-11-07,230.6207
2025-11-08,230.4985
2025-11-09,230.37685
2025-11-10,230.2557
2025-11-11,230.13509
2025-11-12,230.01492
2025-11-13,229.89536
2025-11-14,229.77621
2025-11-15,229.65764
2025-11-16,229.53957
2025-11-17,229.42195
2025-11-18,229.30486
2025-11-19,229.18823
2025-11-20,229.07213
2025-11-21,228.95645
2025-11-22,228.84132
2025-11-23,228.7266
2025-11-24,228.6124
2025-11-25,228.49861
2025-11-26,228.38536
2025-11-27,228.27254
2025-11-28,228.16011
2025-11-29,228.04825
2025-11-30,227.9368
2025-12-01,227.82579
2025-12-02,227.7152
2025-12-03,227.60506
2025-12-04,227.49536
2025-12-05,227.38618
2025-12-06,227.27728
2025-12-07,227.16893
2025-12-08,227.06096
2025-12-09,226.95346
2025-12-10,226.84639
2025-12-11,226.73967
2025-12-12,226.63338
2025-12-13,226.52753
2025-12-14,226.42207
2025-12-15,226.31708
2025-12-16,226.21245
